"fw-medium","team-position","AnchorLink href","Image src","AnchorLink","AnchorLink 2"
"Group A","","","","",""
"","1","https://espndeportes.espn.com/futbol/equipo/_/id/114/napoli","https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/114.png&h=40&w=40","NAP","Napoli"
"","2","https://espndeportes.espn.com/futbol/equipo/_/id/364/liverpool","https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/364.png&h=40&w=40","LIV","Liverpool"
"","3","https://espndeportes.espn.com/futbol/equipo/_/id/139/ajax-amsterdam","https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/139.png&h=40&w=40","AJAX","Ajax Amsterdam"
"","4","https://espndeportes.espn.com/futbol/equipo/_/id/257/rangers","https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/257.png&h=40&w=40","RANG","Rangers"
"Group B","","","","",""
"","1","https://espndeportes.espn.com/futbol/equipo/_/id/437/fc-porto","https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/437.png&h=40&w=40","POR","FC Porto"
"","2","https://espndeportes.espn.com/futbol/equipo/_/id/570/club-brujas","https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/570.png&h=40&w=40","Club Brujas","Club Brujas"
"","3","https://espndeportes.espn.com/futbol/equipo/_/id/131/bayer-leverkusen","https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/131.png&h=40&w=40","LEV","Bayer Leverkusen"
"","4","https://espndeportes.espn.com/futbol/equipo/_/id/1068/atletico-madrid","https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/1068.png&h=40&w=40","ATL","Atlético Madrid"
"Group C","","","","",""
"","1","https://espndeportes.espn.com/futbol/equipo/_/id/132/bayern-munich","https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/132.png&h=40&w=40","BMU","Bayern Munich"
"","2","https://espndeportes.espn.com/futbol/equipo/_/id/110/internazionale","https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/110.png&h=40&w=40","INT","Internazionale"
"","3","https://espndeportes.espn.com/futbol/equipo/_/id/83/barcelona","https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/83.png&h=40&w=40","BAR","Barcelona"
"","4","https://espndeportes.espn.com/futbol/equipo/_/id/11706/viktoria-plzen","https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/11706.png&h=40&w=40","PLZ","Viktoria Plzen"
"Group D","","","","",""
"","1","https://espndeportes.espn.com/futbol/equipo/_/id/367/tottenham-hotspur","https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/367.png&h=40&w=40","TOT","Tottenham Hotspur"
