"AnchorLink","AnchorLink href","AnchorLink 2","AnchorLink href 2","AnchorLink 3","AnchorLink href 3","AnchorLink 4","AnchorLink href 4","AnchorLink 5","AnchorLink href 5","AnchorLink 6","AnchorLink href 6","AnchorLink 7","AnchorLink href 7","AnchorLink 8","AnchorLink href 8","stat-cell","stat-cell 2","stat-cell 3","stat-cell 4","stat-cell 5","stat-cell 6","stat-cell 7","stat-cell 8"
"J","https://espndeportes.espn.com/futbol/posiciones/_/liga/UEFA.CHAMPIONS/ordenar/gamesplayed/dir/desc","G","https://espndeportes.espn.com/futbol/posiciones/_/liga/UEFA.CHAMPIONS/ordenar/wins/dir/desc","E","https://espndeportes.espn.com/futbol/posiciones/_/liga/UEFA.CHAMPIONS/ordenar/ties/dir/desc","P","https://espndeportes.espn.com/futbol/posiciones/_/liga/UEFA.CHAMPIONS/ordenar/losses/dir/asc","GF","https://espndeportes.espn.com/futbol/posiciones/_/liga/UEFA.CHAMPIONS/ordenar/pointsfor/dir/desc","GC","https://espndeportes.espn.com/futbol/posiciones/_/liga/UEFA.CHAMPIONS/ordenar/pointsagainst/dir/asc","DIF","https://espndeportes.espn.com/futbol/posiciones/_/liga/UEFA.CHAMPIONS/ordenar/pointdifferential/dir/desc","PTS","https://espndeportes.espn.com/futbol/posiciones/_/liga/UEFA.CHAMPIONS/ordenar/puntos/dir/desc","","","","","","","",""
"","","","","","","","","","","","","","","","","6","5","0","1","20","6","+14","15"
"","","","","","","","","","","","","","","","","6","5","0","1","17","6","+11","15"
"","","","","","","","","","","","","","","","","6","2","0","4","11","16","-5","6"
"","","","","","","","","","","","","","","","","6","0","0","6","2","22","-20","0"
"J","https://espndeportes.espn.com/futbol/posiciones/_/liga/UEFA.CHAMPIONS/ordenar/gamesplayed/dir/desc","G","https://espndeportes.espn.com/futbol/posiciones/_/liga/UEFA.CHAMPIONS/ordenar/wins/dir/desc","E","https://espndeportes.espn.com/futbol/posiciones/_/liga/UEFA.CHAMPIONS/ordenar/ties/dir/desc","P","https://espndeportes.espn.com/futbol/posiciones/_/liga/UEFA.CHAMPIONS/ordenar/losses/dir/asc","GF","https://espndeportes.espn.com/futbol/posiciones/_/liga/UEFA.CHAMPIONS/ordenar/pointsfor/dir/desc","GC","https://espndeportes.espn.com/futbol/posiciones/_/liga/UEFA.CHAMPIONS/ordenar/pointsagainst/dir/asc","DIF","https://espndeportes.espn.com/futbol/posiciones/_/liga/UEFA.CHAMPIONS/ordenar/pointdifferential/dir/desc","PTS","https://espndeportes.espn.com/futbol/posiciones/_/liga/UEFA.CHAMPIONS/ordenar/puntos/dir/desc","","","","","","","",""
"","","","","","","","","","","","","","","","","6","4","0","2","12","7","+5","12"
"","","","","","","","","","","","","","","","","6","3","2","1","7","4","+3","11"
"","","","","","","","","","","","","","","","","6","1","2","3","4","8","-4","5"
"","","","","","","","","","","","","","","","","6","1","2","3","5","9","-4","5"
