"zentriert href","tiny_wappen src","links","zentriert","zentriert 2","rechts","rechts 2"
"https://www.transfermarkt.es/fc-barcelona/startseite/verein/131","https://tmssl.akamaized.net/images/wappen/tiny/131.png?lm=1406739548","FC Barcelona","25","25,4","799,50 mill. €","31,98 mill. €"
"https://www.transfermarkt.es/atletico-madrid/startseite/verein/13","https://tmssl.akamaized.net/images/wappen/tiny/13.png?lm=1519120744","Atlético de Madrid","22","27,9","520,50 mill. €","23,66 mill. €"
"https://www.transfermarkt.es/juventus-turin/startseite/verein/506","https://tmssl.akamaized.net/images/wappen/tiny/506.png?lm=1626441487","Juventus de Turín","27","26,9","502,40 mill. €","18,61 mill. €"
"https://www.transfermarkt.es/bayer-04-leverkusen/startseite/verein/15","https://tmssl.akamaized.net/images/wappen/tiny/15.png?lm=1651221781","Bayer 04 Leverkusen","28","24,5","417,85 mill. €","14,92 mill. €"
"https://www.transfermarkt.es/ajax-amsterdam/startseite/verein/610","https://tmssl.akamaized.net/images/wappen/tiny/610.png?lm=1657054414","Ajax de Ámsterdam","27","24,8","296,05 mill. €","10,96 mill. €"
"https://www.transfermarkt.es/olympique-marseille/startseite/verein/244","https://tmssl.akamaized.net/images/wappen/tiny/244.png?lm=1485642163","Olympique de Marsella","27","24,7","244,00 mill. €","9,04 mill. €"
"https://www.transfermarkt.es/red-bull-salzburg/startseite/verein/409","https://tmssl.akamaized.net/images/wappen/tiny/409.png?lm=1557737354","Red Bull Salzburgo","32","22,2","236,33 mill. €","7,39 mill. €"
"https://www.transfermarkt.es/sporting-lissabon/startseite/verein/336","https://tmssl.akamaized.net/images/wappen/tiny/336.png?lm=1621513752","Sporting CP","28","24,5","234,90 mill. €","8,39 mill. €"
"https://www.transfermarkt.es/fc-sevilla/startseite/verein/368","https://tmssl.akamaized.net/images/wappen/tiny/368.png?lm=1408655455","Sevilla FC","26","28,2","225,00 mill. €","8,65 mill. €"
"https://www.transfermarkt.es/glasgow-rangers/startseite/verein/124","https://tmssl.akamaized.net/images/wappen/tiny/124.png?lm=1657628093","Rangers FC","32","26,4","127,33 mill. €","3,98 mill. €"
"https://www.transfermarkt.es/celtic-glasgow/startseite/verein/371","https://tmssl.akamaized.net/images/wappen/tiny/371.png?lm=1403615766","Celtic FC","27","25,9","107,90 mill. €","4,00 mill. €"
"https://www.transfermarkt.es/gnk-dinamo-zagreb/startseite/verein/419","https://tmssl.akamaized.net/images/wappen/tiny/419.png?lm=1571921138","GNK Dinamo Zagreb","29","25,5","107,50 mill. €","3,71 mill. €"
"https://www.transfermarkt.es/shakhtar-donetsk/startseite/verein/660","https://tmssl.akamaized.net/images/wappen/tiny/660.png?lm=1396275305","Shakhtar Donetsk","29","24,7","80,30 mill. €","2,77 mill. €"
"https://www.transfermarkt.es/fc-kopenhagen/startseite/verein/190","https://tmssl.akamaized.net/images/wappen/tiny/190.png?lm=1518117389","FC Copenhague","28","24,6","68,00 mill. €","2,43 mill. €"
"https://www.transfermarkt.es/fc-viktoria-pilsen/startseite/verein/941","https://tmssl.akamaized.net/images/wappen/tiny/941.png?lm=1571347012","FC Viktoria Plzen","27","27,9","28,50 mill. €","1,06 mill. €"
"https://www.transfermarkt.es/maccabi-haifa/startseite/verein/1064","https://tmssl.akamaized.net/images/wappen/tiny/1064.png?lm=1665902866","Maccabi Haifa","27","27,4","20,60 mill. €","763 mil €"
