"zentriert href","tiny_wappen src","links","zentriert","zentriert 2","rechts","rechts 2"
"https://www.transfermarkt.es/manchester-city/startseite/verein/281","https://tmssl.akamaized.net/images/wappen/tiny/281.png?lm=1467356331","Manchester City","23","27,3","1,09 mil mill. €","47,45 mill. €"
"https://www.transfermarkt.es/fc-bayern-munchen/startseite/verein/27","https://tmssl.akamaized.net/images/wappen/tiny/27.png?lm=1498251238","Bayern Múnich","24","25,6","920,70 mill. €","38,36 mill. €"
"https://www.transfermarkt.es/fc-paris-saint-germain/startseite/verein/583","https://tmssl.akamaized.net/images/wappen/tiny/583.png?lm=1522312728","París Saint-Germain FC","28","25,4","889,55 mill. €","31,77 mill. €"
"https://www.transfermarkt.es/fc-liverpool/startseite/verein/31","https://tmssl.akamaized.net/images/wappen/tiny/31.png?lm=1456567819","Liverpool FC","27","26,8","867,00 mill. €","32,11 mill. €"
"https://www.transfermarkt.es/fc-chelsea/startseite/verein/631","https://tmssl.akamaized.net/images/wappen/tiny/631.png?lm=1628160548","Chelsea FC","25","26,6","846,50 mill. €","33,86 mill. €"
"https://www.transfermarkt.es/real-madrid/startseite/verein/418","https://tmssl.akamaized.net/images/wappen/tiny/418.png?lm=1580722449","Real Madrid CF","23","27,4","839,00 mill. €","36,48 mill. €"
"https://www.transfermarkt.es/tottenham-hotspur/startseite/verein/148","https://tmssl.akamaized.net/images/wappen/tiny/148.png?lm=1544345801","Tottenham Hotspur","25","26,2","677,80 mill. €","27,11 mill. €"
"https://www.transfermarkt.es/inter-mailand/startseite/verein/46","https://tmssl.akamaized.net/images/wappen/tiny/46.png?lm=1618900989","Inter de Milán","28","27,5","592,95 mill. €","21,18 mill. €"
"https://www.transfermarkt.es/ac-mailand/startseite/verein/5","https://tmssl.akamaized.net/images/wappen/tiny/5.png?lm=1605166627","AC Milan","31","26,2","550,55 mill. €","17,76 mill. €"
"https://www.transfermarkt.es/borussia-dortmund/startseite/verein/16","https://tmssl.akamaized.net/images/wappen/tiny/16.png?lm=1396275280","Borussia Dortmund","32","24,4","508,90 mill. €","15,90 mill. €"
"https://www.transfermarkt.es/ssc-neapel/startseite/verein/6195","https://tmssl.akamaized.net/images/wappen/tiny/6195.png?lm=1437135876","SSC Nápoles","27","25,6","480,55 mill. €","17,80 mill. €"
"https://www.transfermarkt.es/rasenballsport-leipzig/startseite/verein/23826","https://tmssl.akamaized.net/images/wappen/tiny/23826.png?lm=1619431624","RB Leipzig","26","25,3","480,50 mill. €","18,48 mill. €"
"https://www.transfermarkt.es/benfica-lissabon/startseite/verein/294","https://tmssl.akamaized.net/images/wappen/tiny/294.png?lm=1535908439","SL Benfica","30","25,6","298,00 mill. €","9,93 mill. €"
"https://www.transfermarkt.es/fc-porto/startseite/verein/720","https://tmssl.akamaized.net/images/wappen/tiny/720.png?lm=1486310161","FC Oporto","27","26,3","263,80 mill. €","9,77 mill. €"
"https://www.transfermarkt.es/eintracht-frankfurt/startseite/verein/24","https://tmssl.akamaized.net/images/wappen/tiny/24.png?lm=1403806187","Eintracht Fráncfort​​","30","24,8","263,05 mill. €","8,77 mill. €"
"https://www.transfermarkt.es/fc-brugge/startseite/verein/2282","https://tmssl.akamaized.net/images/wappen/tiny/2282.png?lm=1448474251","Club Brujas KV","31","24,2","184,20 mill. €","5,94 mill. €"
